
Running time
	10	20	25	30	35	40	50	80	
1	00:00:22.3153622	00:00:17.1241357	00:00:16.9698516	00:00:17.5665007	00:00:17.3858001	00:00:17.8223054	00:00:19.0747304	00:00:24.5508426	
2	00:00:15.3133241	00:00:10.2573714	00:00:09.3914988	00:00:11.1405440	00:00:09.4203587	00:00:09.3156055	00:00:10.0178380	00:00:12.7695217	
4	00:00:11.7506264	00:00:06.3744052	00:00:05.7836333	00:00:06.9503301	00:00:05.2640296	00:00:05.2741592	00:00:05.5344260	00:00:09.0792840	
6	00:00:11.0666822	00:00:05.1894810	00:00:04.7537045	00:00:05.6919940	00:00:04.1595701	00:00:04.2773593	00:00:04.7251194	00:00:08.5102713	
8	00:00:11.6901337	00:00:04.8955616	00:00:04.3336927	00:00:05.5352830	00:00:03.8504611	00:00:03.8854389	00:00:04.6361724	00:00:08.6491735	

Number of times a thread has waited for work
	10	20	25	30	35	40	50	80	
1	0	0	0	0	0	0	0	0	
2	473	624	557	467	364	318	247	341	
4	1566	3246	2820	2364	2232	2375	2809	5284	
6	2087	5501	5763	6317	7019	9079	12366	12794	
8	2592	6827	8989	11955	16262	19139	22146	19390	

Number of times a thread has completed a computational kernel
	10	20	25	30	35	40	50	80	
1	868587	136561	75543	49493	33507	24185	14933	6194	
2	868587	136561	75543	49493	33507	24185	14933	6194	
4	868587	136561	75543	49493	33507	24185	14933	6194	
6	868587	136561	75543	49493	33507	24185	14933	6194	
8	868587	136561	75543	49493	33507	24185	14933	6194	

Number of times a thread has received work from a secondary producer (in pipelined mode)
	10	20	25	30	35	40	50	80	
1	0	0	0	0	0	0	0	0	
2	366	257	230	239	239	252	222	197	
4	1261	1438	1350	1341	1340	1246	1120	694	
6	2286	3228	3148	3101	2802	2513	1851	794	
8	2903	5794	5979	5216	4308	3676	2000	821	

Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed
	10	20	25	30	35	40	50	80	
1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	
